candidate_id,rank,score,reasoning
CAND_0039754,1,0.775894,"16-year applied ML background; skills in Python, OpenSearch, pgvector; product-company background; recently active, 30-day notice or less."
CAND_0018499,2,0.773942,"7-year applied ML background; skills in RAG, scikit-learn, Weaviate; product-company background; recently active, 30-day notice or less."
CAND_0086022,3,0.749835,"5-year applied ML background; skills in PyTorch, Sentence Transformers, pgvector; product-company background; immediately available."
CAND_0002025,4,0.737444,"6-year applied ML background; skills in FAISS, TensorFlow, LangChain; product-company background; recently active, 30-day notice or less."
CAND_0081846,5,0.737272,"7-year applied ML background; skills in Embeddings, Information Retrieval, Vector Search; product-company background; recently active, 30-day notice or less."
CAND_0046525,6,0.723191,"6-year applied ML background; skills in Sentence Transformers, Machine Learning, LlamaIndex; recently active, 60-day notice."
CAND_0064326,7,0.715830,"8-year applied ML background; skills in QLoRA, Deep Learning, Python; product-company background; recently active, 45-day notice."
CAND_0011687,8,0.715553,"8-year applied ML background; skills in OpenSearch, PEFT, LlamaIndex; product-company background; recently active, 30-day notice or less."
CAND_0052328,9,0.710931,"6-year applied ML background; skills in scikit-learn, Sentence Transformers, QLoRA; product-company background; 30-day notice or less."
CAND_0065195,10,0.705474,"5-year applied ML background; skills in Qdrant, QLoRA, Elasticsearch; product-company background; recently active, 45-day notice."
CAND_0081852,11,0.704943,"Senior Data Scientist at Mad Street Den with 6 years experience; skills in LoRA, Vector Search, Milvus; product-company background; recently active, 45-day notice."
CAND_0041669,12,0.702922,"Recommendation Systems Engineer at CRED with 8 years experience; skills in Semantic Search, Milvus, Weights & Biases; product-company background; 60-day notice."
CAND_0095528,13,0.700136,"Senior Data Scientist at Netflix with 5 years experience; skills in Elasticsearch, Semantic Search, RAG; recently active, 45-day notice."
CAND_0066999,14,0.698881,"Recommendation Systems Engineer at Microsoft with 6 years experience; skills in LLMs, Machine Learning, CNN; 30-day notice or less."
CAND_0029367,15,0.695194,"Senior Data Scientist at Rephrase.ai with 6 years experience; skills in Sentence Transformers, FAISS, RAG; product-company background; recently active, long notice (90 days). Concerns: low historical acceptance (39%)."
CAND_0046064,16,0.691178,"Senior NLP Engineer at Salesforce with 9 years experience; skills in PEFT, Pinecone, Elasticsearch; 30-day notice or less."
CAND_0068811,17,0.690018,"Applied ML Engineer at Freshworks with 8 years experience; skills in Pinecone, Vector Search, TensorFlow; product-company background; recently active, 30-day notice or less."
CAND_0014440,18,0.689833,"Recommendation Systems Engineer at CRED with 6 years experience; skills in Milvus, Qdrant, Machine Learning; product-company background; recently active, 60-day notice."
CAND_0077337,19,0.688896,"Staff Machine Learning Engineer at Paytm with 7 years experience; skills in Recommendation Systems, Python, RAG; product-company background; recently active, 60-day notice."
CAND_0042506,20,0.688142,"Search Engineer at Verloop.io with 4 years experience; skills in Information Retrieval, Deep Learning, NLP; product-company background; recently active, 30-day notice or less."
CAND_0062247,21,0.687940,"AI Engineer at Google with 7 years experience; skills in Qdrant, Hugging Face Transformers, Vector Search; 30-day notice or less."
CAND_0066376,22,0.687197,"Applied ML Engineer at Dream11 with 6 years experience; skills in LlamaIndex, Learning to Rank, FAISS; recently active, long notice (90 days)."
CAND_0050454,23,0.685554,"AI Engineer at Rephrase.ai with 7 years experience; skills in scikit-learn, QLoRA, Fine-tuning LLMs; product-company background; 30-day notice or less."
CAND_0010257,24,0.680912,"Senior Data Scientist at Google with 6 years experience; skills in Python, Milvus, Recommendation Systems; recently active, very long notice (120 days). Concerns: long notice period (120d)."
CAND_0009024,25,0.680061,"Search Engineer at Google with 5 years experience; skills in OpenSearch, Recommendation Systems, LoRA; product-company background; 30-day notice or less."
CAND_0061257,26,0.675790,"Staff Machine Learning Engineer at LinkedIn with 8 years experience; skills in Search Infrastructure, Model Adaptation, Python; product-company background; 30-day notice or less."
CAND_0099806,27,0.673251,"AI Engineer at Mad Street Den with 5 years experience; skills in Prompt Engineering, Embeddings, Qdrant; product-company background; recently active, 30-day notice or less. Concerns: low historical acceptance (38%)."
CAND_0055905,28,0.672663,"Senior Machine Learning Engineer at Flipkart with 8 years experience; skills in Vector Search, Elasticsearch, Embeddings; product-company background; recently active, 30-day notice or less."
CAND_0071974,29,0.672637,"Senior AI Engineer at Netflix with 8 years experience; skills in Elasticsearch, Qdrant, Weaviate; product-company background; 45-day notice."
CAND_0005260,30,0.671894,"Senior NLP Engineer at Netflix with 5 years experience; skills in Embeddings, NLP, Prompt Engineering; product-company background; recently active, 60-day notice."
